Epoch,Train_Loss,Val_Loss,DSC,IoU,Sensitivity,Precision,HD95
1,0.0775,0.0171,0.8225,0.7665,0.8666,0.8038,24.01
2,0.0119,0.0087,0.8399,0.7954,0.8336,0.8528,18.35
3,0.0082,0.0064,0.8460,0.8005,0.8392,0.8654,16.49
4,0.0068,0.0054,0.8673,0.8240,0.8641,0.8767,13.18
6,0.0055,0.0044,0.8781,0.8368,0.8762,0.8830,10.25
10,0.0046,0.0044,0.8799,0.8393,0.8884,0.8763,10.35
11,0.0044,0.0041,0.8843,0.8443,0.8796,0.8913,8.98
